MicroMessenger Client,微信中的工具
AppleCoreMedia/1.0.0.12H143 (iPhone; U; CPU OS 8_4 like Mac OS X; zh_cn),苹果系统播放器
vivo X3t_4.2.1_weibo_5.5.0_android,微博
ktv/6.7.2 CFNetwork/758.1.6 Darwin/15.0.0,唱吧
"QIYIVideo/6.7.1 (iOS;com.qiyi.iphone;iOS8.4;iPhone6,2) Corejar",爱奇艺
IcoolWeather/3.01.001.20140328(18;Coolpad 5217;99000459580442-863868026645842;3.01.001.20140328),酷欧天气
Youku;5.0.3;Android;4.4.4;MI 4C,优酷
MomoChat/6.4.2 Android/467 (MI 4LTE; Android 4.4.4; Gapps 1; zh_CN; 1),陌陌
QQ/5.9.1.405 CFNetwork/672.0.8 Darwin/14.0.0,qq
ImgoTV-iphone/4.5.5.151025 CFNetwork/758.1.6 Darwin/15.0.0,芒果tv
dianxinos-user-agent,点心操作系统
HCDNClient 10.10.0.37,爱奇艺组件
Youku;5.0.2;Android;4.4.4;HM NOTE 1S,优酷
kwifi Safari,猎豹wifi
"QIYIVideo/6.7.1 (iOS;com.qiyi.iphone;iOS9.0.2;iPhone7,2) Corejar",爱奇艺
QZone 5.8.1 rv:700 (iPhone; iPhone OS 9.0.2; zh_CN),QQ空间
qqlive4Android/3.8.0.6182  Dalvik (Android 4.3),腾讯视频
"AppStore/2.0 iOS/9.1 model/iPhone7,2 hwp/t7000 build/13B143 (6; dt:106)",苹果应用商店
TudouIPad/15091821 CFNetwork/672.0.8 Darwin/14.0.0,土豆
QQ/5.8.1.415 CFNetwork/711.5.6 Darwin/14.0.0,qq
QQ/5.9.1.405 CFNetwork/711.4.6 Darwin/14.0.0,qq
175.190.19.41,爱奇艺
iPhoneVideo 5.0.1 (iPhone; iOS 8.4.1; Scale/2.00),iphone视频
QQ/5.9.1.405 CFNetwork/711.0.6 Darwin/14.0.0,qq
HCDNClient 10.1.0.31,爱奇艺
LetvIphoneClient/6.0.2 (iPhone; iOS 7.1.2; Scale/2.00),乐视tv
"Youku;5.1;iPhone OS;9.0.1;iPhone4,1",优酷
WeChat/6.3.6.16 CFNetwork/758.0.2 Darwin/15.0.0,微信
5sing\xe5\x8e\x9f\xe5\x88\x9b\xe9\x9f\xb3\xe4\xb9\x90 5.8.0 (iPhone; iPhone OS 9.1; zh-Hans_GB),5sing音乐
com.apple.Maps,苹果地图
MI 4LTE_4.4.4_weibo_5.5.0_android,微博
qqppim android,qq同步助手
NineGameClient/android,九游客户端
